index,distribution
-Plz3v68kjY-28,"[0.08556036372915866, 0.002462515300762695, 0.11694811208279327, 0.08370552801978376, 4.498916892674077e-05, 0.1611586731546769, 0.2494440582925183, 0.062355539590762926, 0.061820842525798336, 0.1764993781348183]"
-Plz3v68kjY-29,"[0.05360956636939974, 0.08394811953344895, 0.1074428665428866, 0.02205005392231822, 0.09137096504531801, 0.09023132788342532, 0.10164479062234202, 0.1316340453190789, 0.10385333947935674, 0.2142149252824253]"
-Plz3v68kjY-30,"[0.00013809393649462118, 0.003693380942189704, 0.0004825313675869153, 0.05521882021301978, 0.0007283751477664495, 0.1251692284632057, 0.0685536987574788, 0.000174484556211202, 0.5663161583719347, 0.17952522824411193]"
-Plz3v68kjY-31,"[0.05264680000828555, 0.02466635802850718, 0.05301932727035491, 0.06639879384224726, 0.14121236215086447, 0.101936930842622, 0.04901976503670086, 0.10111946334841194, 0.08152657799085396, 0.32845362148115176]"
-Plz3v68kjY-32,"[0.077319311255387, 0.047969054325331474, 0.16940133018560088, 0.04097173631731951, 0.09277782047706028, 0.13783970679369004, 0.15409707220243588, 0.04389717219384017, 0.059941438579620004, 0.1757853576697133]"
-Plz3v68kjY-33,"[0.049942470775727096, 0.0019503557805846282, 0.10901810970535027, 0.06705378624684431, 0.12119279745692521, 0.07302476969699465, 0.08898228536413384, 0.06451404265613148, 0.1780412815294343, 0.24628010078787427]"
-Plz3v68kjY-34,"[0.048085101203117674, 0.0911575125528726, 0.011610371802710162, 2.708562271653179e-05, 0.07706796083544618, 0.21748053675459844, 0.15677454575512015, 0.09913778824326498, 0.14423277963761832, 0.154426317592535]"
-Plz3v68kjY-35,"[4.8143739795353696e-05, 2.6949969289310225e-05, 0.16143212474319432, 0.000387538342934714, 0.22718935367524176, 0.047416223052165855, 0.0005361650101835896, 0.29113121667449016, 0.17575922402948221, 0.09607306076322264]"
-Plz3v68kjY-36,"[0.17814026818752612, 0.20835494163460289, 0.10029229866198079, 0.07501762023526524, 0.0574279981851462, 0.13932547404637785, 0.15990929997495892, 0.05991741839407088, 0.00036780877856994377, 0.021246871901500923]"
-Plz3v68kjY-37,"[0.04227787441285091, 0.00015007102830581225, 0.06328453672081336, 9.678437458823483e-05, 0.07218447642136112, 0.11800162212218927, 0.24752530489647762, 0.03118844197424792, 4.784323696823402e-05, 0.42524304481219777]"
-Plz3v68kjY-38,"[6.770325700399825e-05, 0.10732441965230742, 0.07466633485019811, 7.625349478036168e-05, 1.3694561115679985e-05, 0.19499113652204617, 0.1715560435874334, 0.2171647970473448, 0.001414446649973308, 0.23272517037779686]"
-Plz3v68kjY-39,"[6.362929148330198e-05, 0.09137754437894056, 0.11629669348589952, 0.0015656288675328762, 0.04052491548444802, 0.10865631952414327, 0.07623842565537646, 0.17758942852524837, 0.1055639780000375, 0.28212343678689006]"
eQ91p0tvNP0-1,"[0.015097926299891191, 0.02363570543431455, 0.087287582000487, 8.870738865743168e-05, 0.0014597299616487217, 0.1016126207382722, 0.11336738305100486, 0.18617340857957168, 0.0750818737893739, 0.3961950627567788]"
eQ91p0tvNP0-2,"[0.06664907186028203, 0.03829808517110293, 0.10081772191830164, 0.09549748230118568, 0.04665040071322751, 0.06273922510502021, 0.14598283228655237, 0.08643813670134964, 0.27028986441443953, 0.08663717952853825]"
eQ91p0tvNP0-3,"[0.08050170880623383, 0.05722148085766063, 0.06387843865418863, 0.07792796922139235, 0.0436258774433101, 0.17932219867983387, 0.15717021409556303, 0.055828563635718115, 0.14392092236861753, 0.14060262623748188]"
eQ91p0tvNP0-4,"[0.029741214996229823, 0.02515820303962567, 0.10518753780748583, 0.052797558760406926, 0.15214463938864065, 0.27268158213598565, 0.09138735323868963, 0.03165304661449345, 0.10759029860118784, 0.13165856541725413]"
eQ91p0tvNP0-5,"[0.012884338771869707, 0.09911457251884978, 0.07293159278003948, 0.06885602285668872, 0.16233967192040563, 0.08451623975072085, 0.04132154341460232, 0.2352499828795878, 0.0010866736773112403, 0.22169936142992455]"
eQ91p0tvNP0-6,"[0.07127891923684937, 0.02743780484827967, 3.9609987738316444e-05, 0.01844512655575537, 0.07843590744212123, 0.18395861633353225, 0.06686660646111736, 0.20005644281997398, 0.12580769133447073, 0.22767327498016163]"
eQ91p0tvNP0-7,"[0.03053995692788692, 0.047386229503993425, 0.08516823339267603, 0.055451006246692275, 0.11470849806368393, 0.16332435626065464, 0.1063584503480073, 0.07927501497469813, 0.10944105475088788, 0.20834719953081915]"
